sessionId,timestamp,x,y,z,ppgValue,hr,hrIbi,hrStatus,ibiStatus,notification,engagement,affect,context,squared_sum,context_CONVERSATION,context_OTHER,context_VIEW_BOOTH,context_WALKING
8,3235078,-290.5,1069.0,4051.5,2089289.0,79.0,,,,,,,OTHER,17641803.5,0,1,0,0
9,404077,512.0,-21.5,4077.5,2167366.5,0.0,,,,,,,WALKING,16888612.5,0,0,0,1
9,1984998,991.5,1323.0,3903.5,1808298.5,0.0,,,,,,,CONVERSATION,17970713.5,1,0,0,0
9,4205800,-743.0,311.5,4217.5,2358445.0,70.0,,,,,,,CONVERSATION,18436387.5,1,0,0,0
9,5121994,-197.0,2044.0,3523.0,2007124.0,0.0,,,,,,,WALKING,16628274.0,0,0,0,1
10,448750,-380.5,1719.0,3760.0,2113046.5,79.0,,,,,,,VIEW_BOOTH,17237341.25,0,0,1,0
10,1404672,-513.5,-39.5,4166.5,2217577.5,84.0,,,,,,,WALKING,17624964.75,0,0,0,1
10,2363504,-103.0,756.5,4088.5,2159133.0,85.0,,,,,,,VIEW_BOOTH,17298733.5,0,0,1,0
10,3455269,-88.5,1422.5,3872.5,2133240.5,73.0,,,,,,,CONVERSATION,17027594.75,1,0,0,0
14,497941,452.5,917.0,4058.5,2028796.0,99.0,,,,,,,VIEW_BOOTH,17517067.5,0,0,1,0
14,1147370,14.0,868.0,3972.0,2196909.0,93.0,,,,,,,CONVERSATION,16530404.0,1,0,0,0
14,3115554,282.5,745.0,4054.0,2259133.5,95.0,,,,,,,WALKING,17069747.25,0,0,0,1
15,1000405,1469.0,2178.0,3548.0,2165128.0,109.0,,,,,,,CONVERSATION,19489949.0,1,0,0,0
15,1644209,1115.0,1536.5,3656.0,2177806.0,0.0,,,,,,,WALKING,16970393.25,0,0,0,1
17,445787,-238.0,1055.5,3967.5,2064264.0,82.0,,,,,,,OTHER,16911780.5,0,1,0,0
17,1674502,-619.5,462.0,4067.0,2018128.5,0.0,,,,,,,CONVERSATION,17137713.25,1,0,0,0
17,4110423,-1293.5,930.0,3806.0,1948677.0,97.0,,,,,,,CONVERSATION,17023678.25,1,0,0,0
17,6350439,-962.5,460.5,3953.5,2017175.5,0.0,,,,,,,CONVERSATION,16768628.75,1,0,0,0
17,7584662,-440.0,-45.0,4224.5,2049621.0,96.0,,,,,,,CONVERSATION,18042025.25,1,0,0,0
18,1061281,-330.0,-534.5,4154.5,2368525.0,82.0,,,,,,,OTHER,17654460.5,0,1,0,0
18,3832718,-693.0,-495.0,4015.5,2154854.0,89.0,,,,,,,CONVERSATION,16849514.25,1,0,0,0
19,1040125,906.5,-714.5,4061.5,2250565.0,0.0,,,,,,,OTHER,17828034.75,0,1,0,0
19,2006622,-610.0,761.5,4109.5,2414037.0,0.0,,,,,,,CONVERSATION,17839972.5,1,0,0,0
19,2264887,-266.0,1513.0,3922.5,2081897.5,0.0,,,,,,,WALKING,17745931.25,0,0,0,1
19,3302306,332.0,562.0,4167.0,2036265.0,99.0,,,,,,,WALKING,17789957.0,0,0,0,1
20,1677728,297.5,1926.0,3720.0,2113930.0,0.0,,,,,,,CONVERSATION,17636382.25,1,0,0,0
20,2980581,575.5,1590.5,3809.0,2122332.5,0.0,,,,,,,VIEW_BOOTH,17369371.5,0,0,1,0
20,3766580,294.0,1700.5,3828.5,2116916.0,105.0,,,,,,,WALKING,17635548.5,0,0,0,1
21,463986,-1167.0,40.0,3886.5,2682025.5,0.0,,,,,,,CONVERSATION,16468371.25,1,0,0,0
21,1992970,-745.0,-416.5,3981.5,2598669.5,0.0,,,,,,,CONVERSATION,16580839.5,1,0,0,0
21,2351306,787.0,39.5,4173.0,1197135.0,0.0,,,,,,,OTHER,18034858.25,0,1,0,0
21,3541834,-597.0,1259.5,3708.0,3041395.0,0.0,,,,,,,VIEW_BOOTH,15692013.25,0,0,1,0
22,1080160,-400.0,443.5,3975.0,2499034.0,0.0,,,,,,,CONVERSATION,16157317.25,1,0,0,0
22,3737241,301.5,-320.5,4319.0,3107706.5,88.0,,,,,,,VIEW_BOOTH,18847383.5,0,0,1,0
23,1000405,1469.0,2178.0,3548.0,2165128.0,109.0,,,,,,,CONVERSATION,19489949.0,1,0,0,0
23,1644209,1115.0,1536.5,3656.0,2177806.0,0.0,,,,,,,WALKING,16970393.25,0,0,0,1
24,433816,-300.5,884.5,4121.5,1995587.5,0.0,,,,,,,CONVERSATION,17859402.75,1,0,0,0
24,1744852,-946.5,526.0,4075.0,1997356.0,73.0,,,,,,,VIEW_BOOTH,17778163.25,0,0,1,0
24,2316326,-356.0,858.0,4015.5,2075918.0,86.0,,,,,,,WALKING,16987140.25,0,0,0,1
24,4183361,-693.5,1366.0,3863.0,2134057.5,0.0,,,,,,,VIEW_BOOTH,17269667.25,0,0,1,0
24,4748899,-1113.0,1554.5,3637.0,2095179.0,74.0,,,,,,,VIEW_BOOTH,16883008.25,0,0,1,0
24,5968416,-413.5,1371.5,3842.0,2094517.0,79.0,,,,,,,OTHER,16812958.5,0,1,0,0
24,7211190,-1655.0,1431.0,3412.5,2033756.0,77.0,,,,,,,OTHER,16431942.25,0,1,0,0
24,7984532,-1015.0,1366.0,3887.5,2048829.0,83.0,,,,,,,OTHER,18008837.25,0,1,0,0
24,8522413,-215.5,1882.0,3746.5,2001459.0,76.0,,,,,,,OTHER,17624626.5,0,1,0,0
24,9212255,-331.0,792.5,3971.0,2085343.5,0.0,,,,,,,WALKING,16506458.25,0,0,0,1
25,412833,-1608.0,-1058.0,3613.0,2173388.0,64.0,,,,,,,OTHER,16758797.0,0,1,0,0
25,1647457,-2467.0,-826.0,3078.0,2193133.0,62.0,,,,,,,OTHER,16242449.0,0,1,0,0
25,2296938,-2561.0,-426.0,3189.0,2130297.5,64.0,,,,,,,OTHER,16909918.0,0,1,0,0
25,3560998,-2132.0,-792.5,3419.0,2114225.0,63.0,,,,,,,OTHER,16863041.25,0,1,0,0
26,557396,942.0,-1263.0,3876.5,1971862.5,74.0,,,,,,,OTHER,17509785.25,0,1,0,0
26,1861866,-242.0,-1090.0,4023.0,1980087.0,74.0,,,,,,,OTHER,17431193.0,0,1,0,0
26,2512306,-131.5,-655.0,4115.5,2001181.0,73.0,,,,,,,OTHER,17383657.5,0,1,0,0
26,3816312,-225.0,-1280.0,3958.0,2010790.0,79.0,,,,,,,OTHER,17354789.0,0,1,0,0
26,4535084,-27.5,-272.5,3883.0,2076781.0,0.0,,,,,,,WALKING,15152701.5,0,0,0,1
27,2256354,-1706.5,-809.0,3680.5,2193530.5,91.0,,,,,,,WALKING,17112703.5,0,0,0,1
29,472237,577.0,1565.5,3753.5,2165021.0,80.0,,,,,,,CONVERSATION,16872481.5,1,0,0,0
29,1027268,937.5,1227.0,3785.5,2255357.0,84.0,,,,,,,WALKING,16714445.5,0,0,0,1
29,4216706,852.0,1465.5,3766.0,2112958.5,74.0,,,,,,,OTHER,17056350.25,0,1,0,0
29,4869948,533.5,-475.0,4008.0,1860895.0,71.0,,,,,,,VIEW_BOOTH,16574311.25,0,0,1,0
29,6092620,-553.5,431.5,4010.0,1982745.5,70.0,,,,,,,VIEW_BOOTH,16572654.5,0,0,1,0
29,8675123,267.5,651.0,3974.5,1921451.0,74.0,,,,,,,OTHER,16292007.5,0,1,0,0
31,2414759,-509.5,1342.0,3930.5,2326498.0,90.0,,,,,,,OTHER,17509384.5,0,1,0,0
31,4154750,-739.0,539.0,4102.0,2284425.0,87.0,,,,,,,OTHER,17663046.0,0,1,0,0
31,5398635,-168.0,371.0,4106.5,2289698.0,88.0,,,,,,,OTHER,17029207.25,0,1,0,0
32,3242119,-501.0,543.5,4110.0,2111756.0,81.0,,,,,,,CONVERSATION,17438493.25,1,0,0,0
33,1431226,161.0,1495.0,3890.5,2109095.5,86.0,,,,,,,CONVERSATION,17396936.25,1,0,0,0
33,1972531,-314.5,625.5,4026.5,2159791.5,79.0,,,,,,,CONVERSATION,16702862.75,1,0,0,0
33,2651502,463.0,1146.5,4211.0,2177393.5,81.0,,,,,,,OTHER,19261352.25,0,1,0,0
33,3185048,265.5,1238.0,4116.0,2182861.5,75.0,,,,,,,CONVERSATION,18544590.25,1,0,0,0
34,3202474,538.0,1184.0,3963.0,2113465.0,66.0,,,,,,,OTHER,17396669.0,0,1,0,0
34,3830273,389.5,899.5,4116.0,2106905.5,66.0,,,,,,,OTHER,17902266.5,0,1,0,0
34,6784057,427.0,-729.5,4067.0,2109033.5,71.0,,,,,,,OTHER,17254988.25,0,1,0,0
35,410816,94.0,1167.3333333333333,3866.6666666666665,2023483.6666666667,101.0,,,,,,,CONVERSATION,16322614.22222222,1,0,0,0
35,2561349,1087.0,152.5,3937.5,2163572.0,92.0,,,,,,,VIEW_BOOTH,16708731.5,0,0,1,0
35,3198546,-652.0,-921.5,3879.5,2104513.5,85.0,,,,,,,OTHER,16324786.5,0,1,0,0
35,3853997,-592.5,-679.0,3903.0,2014725.0,0.0,,,,,,,OTHER,16045506.25,0,1,0,0
35,5159896,-29.0,972.5,3973.0,2065623.0,83.0,,,,,,,CONVERSATION,16731326.25,1,0,0,0
