sessionId,timestamp,x,y,z,ppgValue,hr,hrIbi,hrStatus,ibiStatus,notification,engagement,affect,context,squared_sum,affect_ANGRY,affect_HAPPY,affect_RELAXED,affect_SAD
17,1659129,-342.5,261.5,4157.0,2014600.0,0.0,,,,,,ANGRY,,17466337.5,1,0,0,0
17,4091750,-959.5,1687.0,3640.0,2008069.5,105.0,,,,,,HAPPY,,17016209.25,0,1,0,0
17,6335298,-699.0,50.5,4142.5,2035673.5,0.0,,,,,,RELAXED,,17651457.5,0,0,1,0
17,7571928,-446.0,260.5,4102.5,2051826.0,0.0,,,,,,RELAXED,,17097282.5,0,0,1,0
18,1041361,-43.0,-159.5,4131.5,2305951.5,0.0,,,,,,RELAXED,,17096581.5,0,0,1,0
18,3818906,-168.0,-500.5,4187.0,2138697.0,88.0,,,,,,RELAXED,,17809693.25,0,0,1,0
19,1013500,1057.6666666666667,-1150.3333333333333,3843.3333333333335,2223663.3333333335,0.0,,,,,,RELAXED,,17213136.666666668,0,0,1,0
19,1991732,-350.6666666666667,251.0,4195.333333333333,2399197.3333333335,0.0,,,,,,HAPPY,,17786789.888888888,0,1,0,0
19,2246848,8.5,1743.5,4017.5,2139559.0,100.0,,,,,,RELAXED,,19180170.75,0,0,1,0
19,3289490,236.5,181.5,4046.0,2078304.0,92.0,,,,,,HAPPY,,16458990.5,0,1,0,0
20,1662474,488.5,1810.0,3795.0,2125523.0,0.0,,,,,,HAPPY,,17916757.25,0,1,0,0
20,2962108,438.0,1586.5,3817.5,2146145.5,102.0,,,,,,RELAXED,,17282132.5,0,0,1,0
20,3752390,167.5,1588.0,3854.5,2138236.5,0.0,,,,,,SAD,,17406970.5,0,0,0,1
21,424779,-1528.0,-363.5,3738.5,1902405.5,0.0,,,,,,HAPPY,,16443298.5,0,1,0,0
21,1963847,-427.5,42.0,3939.5,2261619.0,0.0,,,,,,HAPPY,,15704180.5,0,1,0,0
21,2325804,453.5,350.5,4107.0,1452922.0,0.0,,,,,,RELAXED,,17195961.5,0,0,1,0
21,3525216,-611.5,1976.0,3519.5,3243100.0,0.0,,,,,,RELAXED,,16665388.5,0,0,1,0
22,1065969,45.0,1312.5,3862.0,2324449.5,0.0,,,,,,HAPPY,,16639725.25,0,1,0,0
22,2275655,-364.0,777.5,4130.5,3588578.5,0.0,,,,,,RELAXED,,17798032.5,0,0,1,0
23,988203,1891.5,1534.5,3198.0,2144251.0,0.0,,,,,,RELAXED,,16159666.5,0,0,1,0
23,1630644,1457.5,1039.5,3794.0,2134221.5,0.0,,,,,,RELAXED,,17599302.5,0,0,1,0
24,419211,-485.0,780.5,4037.0,2035552.0,0.0,,,,,,HAPPY,,17141774.25,0,1,0,0
24,1727526,-1142.5,319.0,3976.5,2007234.0,74.0,,,,,,RELAXED,,17219619.5,0,0,1,0
24,2296312,-1586.5,1563.5,2733.5,2120215.0,85.0,,,,,,HAPPY,,12433536.75,0,1,0,0
24,4155382,-21.0,1922.5,3779.0,2049330.5,0.0,,,,,,HAPPY,,17977288.25,0,1,0,0
24,4735842,-1047.5,1664.5,3684.0,2096723.5,80.0,,,,,,RELAXED,,17439672.5,0,0,1,0
24,5955914,-394.0,1365.0,4012.0,2086147.5,80.0,,,,,,RELAXED,,18114605.0,0,0,1,0
24,7199470,-1470.0,1697.5,3361.5,2030832.5,76.0,,,,,,HAPPY,,16342088.5,0,1,0,0
24,7972114,-837.5,1771.0,3742.5,2059949.0,0.0,,,,,,RELAXED,,17844153.5,0,0,1,0
24,8503956,74.0,1790.0,3814.0,2001765.0,83.0,,,,,,RELAXED,,17756172.0,0,0,1,0
24,9192942,-725.0,1405.5,3813.5,2003631.5,90.0,,,,,,HAPPY,,17043837.5,0,1,0,0
25,394108,-1691.0,-585.0,3870.5,2203274.5,63.0,,,,,,RELAXED,,18182476.25,0,0,1,0
25,1635299,-2403.5,-916.5,3187.0,2164728.0,65.0,,,,,,RELAXED,,16773753.5,0,0,1,0
